PWGTP,AGEP,SOCP,WAGP,PUMA,STATE,
13,22,1191XX,47000,08303,06,
11,82,113051,0,07901,06,
13,79,411011,0,07901,06,
21,25,172070,73000,11109,06,
11,57,1940YY,78000,11108,06,
25,64,471011,150000,08301,06,
6,40,1191XX,70000,07901,06,
74,30,411011,27000,07901,06,
26,43,471011,78000,11108,06,
84,54,113051,130000,08303,06,
18,64,411011,70000,08302,06,
10,67,172070,92000,11108,06,
12,59,414010,170000,08302,06,
17,65,411011,0,07902,06,
6,39,414010,43000,11109,06,
25,35,514041,25000,11108,06,
20,66,414010,125000,07901,06,
65,60,411011,0,07902,06,
12,67,1721YY,40000,11102,06,
12,28,1721YY,93000,11103,06,
19,29,414010,55000,08303,06,
10,78,1191XX,10000,11108,06,
11,58,1191XX,23000,08301,06,
8,35,1191XX,190000,08301,06,
38,25,414010,0,08303,06,
35,26,1191XX,85000,08303,06,
10,66,1191XX,60000,08303,06,
13,29,411011,71000,11109,06,
34,61,49904X,78000,08301,06,
9,52,519020,57000,08301,06,
4,40,411011,0,08302,06,
9,66,1191XX,55000,11102,06,
10,58,1191XX,63000,11102,06,
20,57,119041,135000,11102,06,
30,21,1191XX,47000,08301,06,
9,63,411011,0,11102,06,
21,28,1721YY,627000,07902,06,
33,58,49904X,0,11107,06,
19,61,1191XX,70000,07901,06,
18,66,414010,125000,11109,06,
24,64,414010,34200,11109,06,
12,66,1191XX,25000,11103,06,
15,40,1191XX,77000,11102,06,
14,60,411011,65000,07901,06,
10,59,411011,167000,07902,06,
10,65,414010,12500,11102,06,
30,35,471011,46400,08301,06,
85,71,414010,12000,08302,06,
82,68,472211,15000,08302,06,
13,30,172051,90000,11102,06,
11,67,414010,32000,11108,06,
57,24,172051,70000,07901,06,
8,47,1191XX,22000,08303,06,
12,26,172070,70000,08303,06,
19,21,1191XX,12000,07901,06,
5,21,1191XX,600,07901,06,
14,59,411011,0,11107,06,
11,32,411011,66000,11102,06,
43,54,471011,140000,11109,06,
16,32,411011,35000,11108,06,
16,30,1721YY,70000,11108,06,
21,51,519010,120000,07901,06,
12,36,172070,90000,11108,06,
29,28,1191XX,25000,07902,06,
21,20,411011,5000,08302,06,
19,60,1191XX,105000,08303,06,
5,42,253041,0,08302,06,
31,43,411011,28000,11107,06,
26,46,1721XX,106000,11102,06,
11,89,414010,0,08302,06,
11,72,514041,0,11108,06,
10,57,1191XX,200000,11102,06,
15,43,172051,56000,11103,06,
18,70,414010,0,07901,06,
31,67,172141,0,07902,06,
8,72,49904X,38000,11108,06,
14,51,519010,175000,07901,06,
8,67,411011,0,11102,06,
14,53,1191XX,100000,08303,06,
19,24,172051,20000,08303,06,
11,23,414010,5400,08303,06,
20,57,172141,0,08303,06,
24,60,471011,56000,08301,06,
12,60,49904X,0,11108,06,
14,58,414010,200000,11102,06,
10,65,411011,20000,11102,06,
6,80,1191XX,0,11109,06,
7,59,1191XX,167000,11109,06,
9,50,1191XX,280000,11109,06,
17,65,1191XX,0,08303,06,
17,28,4990XX,40000,08303,06,
25,29,253041,1400,08303,06,
22,61,119041,179000,08302,06,
14,51,1191XX,270000,08301,06,
11,42,411011,70000,11103,06,
9,28,411011,14000,08301,06,
20,63,411011,140000,11109,06,
19,33,411011,80000,08303,06,
25,32,1191XX,80000,11102,06,
12,77,172051,0,11108,06,
28,43,172070,230000,08301,06,
21,40,1721YY,130000,08301,06,
16,53,1721YY,47000,11103,06,
17,70,1191XX,57000,11103,06,
13,82,172051,151000,07901,06,
19,42,1191XX,90000,07902,06,
14,57,1191XX,128000,08302,06,
12,64,414010,0,11109,06,
13,50,411011,156000,11103,06,
16,40,1191XX,90000,11103,06,
22,44,414010,73000,07902,06,
8,66,471011,0,07902,06,
16,40,414010,62000,11109,06,
8,37,4750XX,95000,11107,06,
16,20,1940YY,500,08303,06,
8,56,1191XX,78000,11108,06,
8,53,411011,40000,11109,06,
14,53,519010,23000,08302,06,
28,22,411011,17000,07901,06,
17,34,1191XX,50000,11109,06,
13,65,1940YY,0,07902,06,
13,31,172070,160000,11102,06,
15,41,519010,164000,07902,06,
19,23,1191XX,0,11108,06,
18,63,172051,150000,08303,06,
9,27,411011,12000,08303,06,
21,65,414010,58000,08303,06,
11,27,514041,0,11102,06,
12,25,1191XX,34000,11103,06,
19,53,414010,40000,07902,06,
13,48,172070,114000,11109,06,
14,31,1191XX,0,08303,06,
10,31,1940YY,9000,08303,06,
6,55,411011,50000,11109,06,
14,39,414010,55000,11108,06,
22,31,172141,88000,11109,06,
7,66,1191XX,0,11108,06,
13,51,1191XX,75000,08303,06,
13,59,1191XX,23000,11109,06,
17,53,1191XX,120000,11103,06,
13,59,411011,100000,11109,06,
4,66,1191XX,46200,08302,06,
4,32,1191XX,90000,08302,06,
10,28,411011,75000,08302,06,
7,72,411011,0,08302,06,
31,24,253041,0,11108,06,
34,60,1191XX,0,07902,06,
10,52,1940YY,8300,11102,06,
13,64,472211,104000,07902,06,
22,47,172070,200000,11109,06,
7,45,414010,160000,11103,06,
14,61,119041,300000,07901,06,
34,42,1191XX,11000,11107,06,
12,62,1721YY,0,07901,06,
16,59,119041,200000,11107,06,
28,32,411011,32000,11102,06,
15,23,411011,27000,11103,06,
14,53,1191XX,0,11109,06,
11,68,1191XX,0,08303,06,
29,29,411011,0,11108,06,
35,65,1191XX,130000,11102,06,
11,58,414010,170000,11102,06,
10,76,1191XX,600,07901,06,
7,69,1191XX,0,08302,06,
8,46,411011,30000,11109,06,
8,62,1191XX,175000,11109,06,
8,57,1940YY,110000,11109,06,
20,63,1191XX,0,11109,06,
11,50,1191XX,100000,11108,06,
8,50,414010,65000,11109,06,
9,24,414010,47800,11109,06,
87,52,411011,36000,11103,06,
30,20,411011,27600,08303,06,
53,34,113071,60000,08303,06,
13,56,471011,78000,11108,06,
6,55,172070,153000,08303,06,
15,49,1191XX,85000,11108,06,
11,62,414010,160000,07901,06,
13,71,414010,0,07901,06,
15,61,1191XX,80000,07901,06,
8,37,414010,62000,11109,06,
15,52,172141,110000,11103,06,
8,53,1721YY,250000,11102,06,
31,51,4990XX,40000,11102,06,
36,52,411011,0,11102,06,
19,35,1191XX,0,11108,06,
8,45,411011,65000,11107,06,
12,56,411011,68000,11102,06,
13,52,411011,30000,11102,06,
19,61,172070,16300,11108,06,
17,35,1721YY,130000,08301,06,
18,34,411011,0,11103,06,
29,30,411011,150000,08303,06,
20,55,1721YY,95000,11102,06,
8,63,1191XX,0,11108,06,
7,62,253041,16000,08302,06,
19,29,471011,55000,08302,06,
19,59,1191XX,57000,08301,06,
14,20,1191XX,18000,08303,06,
14,30,253041,1000,11102,06,
22,44,411011,35000,07902,06,
7,65,113051,89000,11107,06,
15,28,411011,55000,11109,06,
17,30,1191XX,50000,07901,06,
22,30,253041,52000,11103,06,
18,63,4990XX,65000,07902,06,
15,59,1721YY,200000,11102,06,
11,34,1191XX,50000,11102,06,
14,20,253041,0,07901,06,
20,57,1721YY,230000,11102,06,
9,78,1191XX,800,08303,06,
11,56,411011,37700,11108,06,
12,34,1721YY,70000,11108,06,
13,34,253041,3500,08301,06,
20,25,519010,12000,08303,06,
20,73,1191XX,122000,08303,06,
7,69,471011,0,11107,06,
10,43,411011,21900,07901,06,
13,50,1721YY,60000,08303,06,
12,41,1191XX,120000,11102,06,
16,39,1191XX,183000,11109,06,
35,49,414010,100000,11108,06,
12,60,1191XX,141000,11109,06,
20,38,1191XX,100000,11109,06,
66,56,1191XX,0,07901,06,
17,65,1721YY,9500,08303,06,
13,46,1191XX,63000,08303,06,
36,58,172051,75000,11108,06,
9,28,172051,0,08303,06,
15,35,172141,80000,08303,06,
13,36,411011,0,08303,06,
21,49,1721YY,48000,11109,06,
55,43,411011,36000,11103,06,
29,59,172070,300000,11107,06,
14,69,1191XX,600,08303,06,
11,47,1191XX,270000,08303,06,
19,45,411011,70000,07902,06,
8,38,411011,125000,08301,06,
13,33,1191XX,17500,08303,06,
12,39,1191XX,70000,08303,06,
25,60,1191XX,222000,11109,06,
29,33,113071,70000,08303,06,
10,64,1191XX,627000,08303,06,
25,32,411011,200000,11102,06,
18,44,1191XX,130000,11108,06,
12,56,1191XX,93000,11108,06,
10,35,1191XX,0,08303,06,
84,29,1191XX,66000,07901,06,
15,70,113051,0,07901,06,
4,59,471011,83000,07902,06,
12,65,1721YY,64000,08303,06,
6,66,411011,580,11109,06,
7,62,414010,120000,11109,06,
13,64,411011,100000,11109,06,
20,63,414010,627000,11102,06,
7,29,411011,0,11103,06,
13,48,411011,60000,08303,06,
12,36,19204X,100000,07901,06,
54,49,411011,205000,11102,06,
19,29,1191XX,60000,11107,06,
12,54,414010,627000,07902,06,
14,37,119041,140000,11108,06,
15,38,113051,30000,11108,06,
37,38,172070,100000,08303,06,
19,59,1191XX,250000,08303,06,
13,59,1191XX,0,11102,06,
11,42,1191XX,185000,11102,06,
30,64,414010,0,07901,06,
12,38,414010,10000,08301,06,
14,27,514041,30000,11102,06,
22,64,411011,0,07901,06,
10,22,253041,0,08302,06,
9,21,1940YY,7000,08303,06,
13,39,113071,107000,11108,06,
18,56,19204X,90000,11103,06,
21,62,172051,39000,07901,06,
46,53,1191XX,0,11103,06,
33,49,1191XX,135000,07901,06,
27,50,1191XX,250000,07901,06,
10,73,172141,200000,11108,06,
13,59,471011,100000,07902,06,
9,59,4990XX,24100,11103,06,
14,59,4990XX,0,11102,06,
12,51,411011,50000,08301,06,
15,46,1191XX,75000,11107,06,
11,78,1721YY,0,08301,06,
12,26,172051,95000,08303,06,
19,35,411011,18000,08303,06,
14,34,49904X,44700,07901,06,
75,47,411011,45000,08303,06,
9,32,411011,34000,11107,06,
11,65,1721YY,140000,11108,06,
23,52,1191XX,627000,11102,06,
17,24,49904X,35000,11107,06,
52,37,414010,55000,11103,06,
14,23,172141,20000,11108,06,
12,40,411011,0,07901,06,
14,68,414010,0,07901,06,
18,70,1191XX,120000,11109,06,
12,23,1721YY,0,08303,06,
11,43,1191XX,50000,11102,06,
25,28,1191XX,70000,07901,06,
12,54,1191XX,109000,11107,06,
21,35,1191XX,0,07901,06,
15,31,1191XX,29000,07901,06,
24,46,414010,90000,08303,06,
24,49,414010,120000,08303,06,
18,72,514041,70000,11109,06,
28,43,411011,65000,11108,06,
14,40,411011,70000,08303,06,
10,19,414010,120,11107,06,
19,59,411011,627000,11109,06,
7,34,471011,110000,11107,06,
16,32,514041,2000,07901,06,
18,20,411011,30000,11107,06,
54,35,414010,210000,11102,06,
23,45,119041,190000,11109,06,
27,44,1191XX,39000,07901,06,
22,64,1191XX,0,07902,06,
11,72,411011,0,11109,06,
9,32,49904X,48000,11108,06,
27,39,1191XX,500,11108,06,
10,68,1191XX,105000,11103,06,
17,28,172141,79000,11103,06,
16,25,4990XX,0,11108,06,
10,84,1721YY,0,11109,06,
7,50,411011,0,11109,06,
9,51,411011,0,11109,06,
23,50,5370XX,65000,11109,06,
21,38,414010,10000,11102,06,
62,65,1721YY,0,07901,06,
18,29,1721YY,60000,08303,06,
69,57,471011,39600,11107,06,
8,62,1191XX,175000,11109,06,
12,57,1191XX,204000,07901,06,
43,58,1191XX,0,07901,06,
10,67,1191XX,7000,11108,06,
21,40,411011,53000,07901,06,
10,52,172141,88000,11108,06,
19,23,253041,8000,11108,06,
15,20,253041,6800,11108,06,
30,35,411011,35000,11103,06,
20,64,411011,55000,07902,06,
69,86,414010,44000,07901,06,
17,60,1191XX,350000,11108,06,
34,20,253041,10000,07901,06,
2,71,1191XX,0,08302,06,
2,34,1191XX,60000,08302,06,
14,33,1191XX,25000,11108,06,
18,69,471011,0,07902,06,
12,42,414010,0,11109,06,
4,58,1191XX,1000,07902,06,
14,49,1191XX,70000,11108,06,
9,60,172141,0,11102,06,
12,53,1191XX,55000,08303,06,
14,57,1191XX,90000,11109,06,
59,33,411011,60000,11109,06,
6,44,1191XX,0,11102,06,
32,19,1191XX,30000,08301,06,
15,57,1191XX,52000,11103,06,
42,66,1191XX,180000,07902,06,
46,33,1191XX,81000,11108,06,
22,37,1721YY,47000,07901,06,
8,46,411011,0,08303,06,
16,26,1191XX,50000,11102,06,
12,66,1191XX,110000,08303,06,
21,29,1721YY,12000,11109,06,
10,70,49904X,0,11103,06,
20,65,119041,90000,11103,06,
19,43,514041,55000,11109,06,
6,49,4990XX,150000,11103,06,
12,41,172051,100000,11102,06,
34,65,253041,1300,07901,06,
6,65,411011,8000,11108,06,
20,63,49904X,75000,07902,06,
23,29,411011,62000,08301,06,
26,50,1191XX,270000,08303,06,
6,40,1721YY,210000,08302,06,
47,42,414010,64000,11109,06,
36,35,1721YY,85000,07901,06,
8,65,1191XX,0,08303,06,
11,36,411011,90000,07902,06,
18,40,113051,60000,11103,06,
55,59,49904X,0,11107,06,
49,25,49904X,30000,11107,06,
13,60,414010,20000,11103,06,
24,31,414010,100000,07901,06,
16,22,253041,2500,08303,06,
11,59,1191XX,215000,08303,06,
11,82,49904X,0,07902,06,
13,62,1191XX,54000,07902,06,
12,48,1191XX,310000,11109,06,
15,76,1191XX,2500,11102,06,
14,62,1721YY,109000,11108,06,
