PWGTP,AGEP,WAGP,PUMA20,SOCP,
7,61,120000,11107,1191XX,
13,56,55000,08302,514041,
7,28,0,11109,1191XX,
13,69,0,11107,471011,
7,65,0,08303,1191XX,
17,84,0,11103,414010,
10,60,212000,11102,113051,
35,40,70000,11103,514041,
10,31,110000,07901,172051,
9,59,70000,11107,4990XX,
24,31,40000,07901,1191XX,
17,21,0,08303,1940YY,
53,61,65000,08302,414010,
24,34,140000,11109,414010,
11,53,140000,11108,1191XX,
26,45,30000,08301,1191XX,
15,69,0,08301,1191XX,
15,23,58000,07902,414010,
18,73,0,08303,471011,
15,54,280000,11108,1191XX,
5,29,38000,08302,1191XX,
29,33,65000,11104,172070,
25,50,60000,08302,113071,
15,57,116000,11108,1191XX,
10,26,15000,08301,1191XX,
12,42,145000,11104,172051,
44,61,65000,08302,1191XX,
26,29,72000,07902,1191XX,
16,68,41000,08302,4990XX,
13,75,0,11103,113071,
9,30,10000,07901,1191XX,
9,34,35000,07901,1940YY,
15,71,0,08303,4990XX,
19,39,200000,11104,1721YY,
39,46,195000,11104,119041,
28,46,230000,11104,119041,
30,70,0,08301,471011,
55,39,0,08301,1191XX,
14,61,82000,11104,172070,
19,80,0,08302,1191XX,
31,22,40000,08301,414010,
65,66,0,11102,1191XX,
19,66,155000,11102,1191XX,
22,31,38000,08302,1191XX,
43,44,89000,11102,471011,
12,51,150000,11109,119041,
17,58,200000,07901,1191XX,
8,45,30000,08302,1191XX,
12,34,35000,11104,1191XX,
10,64,75000,11109,1191XX,
24,41,150000,11109,1721YY,
15,34,95000,08303,113071,
24,39,50000,07902,471011,
37,37,130000,11108,1191XX,
32,46,0,11103,471011,
24,49,45400,08302,414010,
11,33,56000,11103,471011,
19,32,123000,11104,1191XX,
2,49,0,11102,1191XX,
12,60,0,11102,1721YY,
19,64,0,11109,414010,
6,27,34000,11104,1191XX,
11,54,147000,08303,1191XX,
39,60,0,11102,172141,
3,40,120000,08302,471011,
11,67,0,11102,537070,
14,61,0,11104,172141,
21,33,60000,11102,414010,
10,69,0,11103,1191XX,
16,68,95000,08301,1191XX,
13,20,40000,11102,472211,
13,56,86000,11102,1191XX,
15,53,60000,11102,1191XX,
12,67,56000,11108,514041,
13,44,68000,07902,471011,
13,60,300000,07901,119041,
43,32,65000,11103,414010,
23,29,67000,07901,172051,
14,27,83000,07901,1721YY,
6,75,125000,08302,1191XX,
15,36,0,08301,4990XX,
8,61,38000,11107,519010,
15,47,140000,11102,1191XX,
12,54,78000,08301,518090,
48,34,55000,11102,1721YY,
11,72,0,08301,1191XX,
16,36,51000,08303,1191XX,
6,60,80000,11103,49904X,
22,57,134000,08301,1191XX,
17,41,200000,07901,1191XX,
57,38,60000,11103,514041,
42,27,48000,07902,471011,
12,23,5000,11103,1191XX,
18,67,8000,08301,1191XX,
18,29,40000,08303,514041,
19,29,200000,11103,414010,
13,73,0,08301,1191XX,
20,71,61000,07902,471011,
11,29,100000,08303,1721YY,
14,56,35000,08303,1191XX,
10,66,115000,11103,1191XX,
28,47,24000,11102,471011,
12,67,90000,11108,1721YY,
15,40,103000,11102,172051,
10,56,80000,11103,49904X,
18,70,0,11102,1191XX,
17,33,60000,08303,1191XX,
11,43,65000,07902,113071,
14,38,0,07901,414010,
13,74,0,11108,1191XX,
17,67,0,08302,1191XX,
11,41,25000,08303,172051,
16,41,100000,07901,1191XX,
12,54,32000,07902,1191XX,
2,59,84000,11107,1191XX,
2,64,687000,11107,1191XX,
10,49,50000,07901,1191XX,
17,54,200000,11103,1191XX,
67,61,0,11103,1191XX,
16,25,180000,07902,518010,
16,51,301000,11109,1191XX,
19,26,60000,11103,4990XX,
13,31,89000,07901,172051,
21,63,0,11109,1191XX,
10,20,10000,07901,172141,
22,45,160000,08302,1191XX,
35,27,60000,11109,172070,
10,50,135000,11103,1191XX,
9,65,133000,08303,1940YY,
11,72,0,11104,475020,
80,49,115000,08302,172141,
24,63,0,11102,1191XX,
11,78,160000,11102,414010,
6,67,0,11102,172051,
