"zipcode","year","occupation","estimate","margin_of_error","county"
"93004",2015,"transportation_occupations",33143,35215,"Ventura"
"93004",2015,"material_moving_occupations",30214,14341,"Ventura"
"93010",2015,"civilian_employed_population_16_years_and_over_with_earnings",41447,1213,"Ventura"
"93010",2015,"management_occupations",73419,10597,"Ventura"
"93010",2015,"business_and_financial_operations_occupations",61853,9621,"Ventura"
"93010",2015,"computer_and_mathematical_occupations",72841,23640,"Ventura"
"93010",2015,"architecture_and_engineering_occupations",93048,8080,"Ventura"
"93010",2015,"life_physical_and_social_science_occupations",39183,30293,"Ventura"
"93010",2015,"community_and_social_services_occupations",51296,12778,"Ventura"
"93010",2015,"legal_occupations",120500,118173,"Ventura"
"93010",2015,"education_training_and_library_occupations",44327,18767,"Ventura"
"93010",2015,"arts_design_entertainment_sports_and_media_occupations",42000,15120,"Ventura"
"93010",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",89167,5483,"Ventura"
"93010",2015,"health_technologists_and_technicians",42146,16475,"Ventura"
"93010",2015,"healthcare_support_occupations",21875,14806,"Ventura"
"93010",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",89091,82807,"Ventura"
"93010",2015,"law_enforcement_workers_including_supervisors",93000,34276,"Ventura"
"93010",2015,"food_preparation_and_serving_related_occupations",14018,3788,"Ventura"
"93010",2015,"building_and_grounds_cleaning_and_maintenance_occupations",21648,2072,"Ventura"
"93010",2015,"personal_care_and_service_occupations",18393,4167,"Ventura"
"93010",2015,"sales_and_related_occupations",33140,4416,"Ventura"
"93010",2015,"office_and_administrative_support_occupations",33575,3545,"Ventura"
"93010",2015,"farming_fishing_and_forestry_occupations",25096,44288,"Ventura"
"93010",2015,"construction_and_extraction_occupations",44844,12412,"Ventura"
"93010",2015,"installation_maintenance_and_repair_occupations",41531,6405,"Ventura"
"93010",2015,"production_occupations",37140,4380,"Ventura"
"93010",2015,"transportation_occupations",41167,13306,"Ventura"
"93010",2015,"material_moving_occupations",14449,14758,"Ventura"
"93012",2015,"civilian_employed_population_16_years_and_over_with_earnings",54908,5351,"Ventura"
"93012",2015,"management_occupations",100734,7545,"Ventura"
"93012",2015,"business_and_financial_operations_occupations",79116,12958,"Ventura"
"93012",2015,"computer_and_mathematical_occupations",102283,4783,"Ventura"
"93012",2015,"architecture_and_engineering_occupations",97292,10986,"Ventura"
"93012",2015,"life_physical_and_social_science_occupations",86688,27991,"Ventura"
"93012",2015,"community_and_social_services_occupations",57321,12193,"Ventura"
"93012",2015,"legal_occupations",122813,46307,"Ventura"
"93012",2015,"education_training_and_library_occupations",51366,9594,"Ventura"
"93012",2015,"arts_design_entertainment_sports_and_media_occupations",45650,8750,"Ventura"
"93012",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",100278,25347,"Ventura"
"93012",2015,"health_technologists_and_technicians",44622,3333,"Ventura"
"93012",2015,"healthcare_support_occupations",30403,7921,"Ventura"
"93012",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",81154,32944,"Ventura"
"93012",2015,"law_enforcement_workers_including_supervisors",105735,21098,"Ventura"
"93012",2015,"food_preparation_and_serving_related_occupations",10052,2599,"Ventura"
"93012",2015,"building_and_grounds_cleaning_and_maintenance_occupations",12292,46046,"Ventura"
"93012",2015,"personal_care_and_service_occupations",10700,4014,"Ventura"
"93012",2015,"sales_and_related_occupations",32003,12728,"Ventura"
"93012",2015,"office_and_administrative_support_occupations",32397,7903,"Ventura"
"93012",2015,"farming_fishing_and_forestry_occupations",18688,22798,"Ventura"
"93012",2015,"construction_and_extraction_occupations",65893,21741,"Ventura"
"93012",2015,"installation_maintenance_and_repair_occupations",68250,31511,"Ventura"
"93012",2015,"production_occupations",62288,9652,"Ventura"
"93012",2015,"transportation_occupations",45417,48690,"Ventura"
"93012",2015,"material_moving_occupations",24514,11850,"Ventura"
