"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
26,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2021,52,0
28,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4740XX","Other Construction And Related Workers","Green",2021,41,60000
6,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2021,19,6000
17,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1191XX","Other Managers","Green",2021,60,0
34,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2021,41,70000
29,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2021,36,70000
29,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2021,36,30000
48,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2021,33,50000
48,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2021,23,40000
34,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2021,40,0
6,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1191XX","Other Managers","Green",2021,56,68000
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2021,53,30000
18,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers, Including Nuclear Engineers","Green",2021,66,118000
11,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2021,44,0
22,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,58,70000
20,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,69,0
19,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2021,63,190000
12,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2021,65,160000
11,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2021,32,115000
